addon_code,addon_name,tipe,harga_satuan
,Jasa sablon a4+,JASA,700
,Sablon 2 warna,JASA,220
,Fast Track 1-3 hari,JASA,100000
,Jasa Sablon a4,JASA,350
,SEDOTAN Steril (Kertas),BARANG,25500
,SEDOTAN Papercup,BARANG,15500
,SEDOTAN Runcing (Bening / clear),BARANG,13750
,SEDOTAN Runcing (Boba),BARANG,14000
,SEDOTAN Runcing (Hitam),BARANG,8500
,TUTUP CUP INJECT FLIP INJECT,BARANG,560
,TUTUP CUP INJECT SAMBUNG HITAM,BARANG,400
,TUTUP CUP INJECT SAMBUNG BENING GLOSSY,BARANG,360
,TUTUP CUP INJECT SAMBUNG BENING FROST,BARANG,280
,TUTUP CUP PET Strawless PET PLP,BARANG,280
,TUTUP CUP PET Cembung PET Starindo,BARANG,220
,TUTUP CUP PET Datar PET Starindo,BARANG,220
,TUTUP CUP PET Strawless PET STARINDO,BARANG,200
,TUTUP CUP PP Strawless pp besar,BARANG,200
,TUTUP CUP PP Cembung Besar Starindo,BARANG,160
,TUTUP CUP PP Datar Besar Starindo,BARANG,140
,TUTUP CUP PP Datar Kecil Starindo,BARANG,140
,TUTUP CUP PP Cembung Kecil Starindo,BARANG,140
,TUTUP GOCUP STRAWLESS GOCUP,BARANG,240
,TUTUP PAPERCUP Paper Cup DW 8 oz (Putih),BARANG,580
,TUTUP PAPERCUP Paper Cup DW 8 oz (Hitam),BARANG,580
,TUTUP PAPERCUP Papercup 9 OZ,BARANG,260
,TUTUP PAPERCUP Papercup 8 OZ,BARANG,220
